TAZID,CO_FIPS,CO_NAME,TOTHH
815,11,Davis,439.0
816,11,Davis,2.0
817,11,Davis,92.0
818,11,Davis,393.0
819,11,Davis,495.0
820,11,Davis,10.0
821,11,Davis,77.0
822,11,Davis,73.0
823,11,Davis,106.0
824,11,Davis,0.0
825,11,Davis,784.0
826,11,Davis,809.0
827,11,Davis,626.0
828,11,Davis,717.0
829,11,Davis,378.0
830,11,Davis,761.0
831,11,Davis,404.0
832,11,Davis,624.0
833,11,Davis,392.0
834,11,Davis,353.0
835,11,Davis,567.0
836,11,Davis,261.0
837,11,Davis,349.0
838,11,Davis,523.0
839,11,Davis,315.0
840,11,Davis,473.0
841,11,Davis,368.0
842,11,Davis,506.0
843,11,Davis,168.0
844,11,Davis,481.0
845,11,Davis,234.0
846,11,Davis,426.0
847,11,Davis,554.0
848,11,Davis,957.0
849,11,Davis,182.0
850,11,Davis,355.0
851,11,Davis,208.0
852,11,Davis,518.0
853,11,Davis,363.0
854,11,Davis,313.0
855,11,Davis,367.0
856,11,Davis,521.0
857,11,Davis,694.0
858,11,Davis,430.0
859,11,Davis,0.0
860,11,Davis,97.0
861,11,Davis,14.0
862,11,Davis,294.0
863,11,Davis,250.0
864,11,Davis,375.0
865,11,Davis,194.0
866,11,Davis,601.0
867,11,Davis,3.0
868,11,Davis,820.0
869,11,Davis,12.0
870,11,Davis,324.0
871,11,Davis,332.0
872,11,Davis,109.0
873,11,Davis,319.0
874,11,Davis,1184.0
875,11,Davis,0.0
876,11,Davis,1498.0
877,11,Davis,0.0
878,11,Davis,0.0
879,11,Davis,138.0
880,11,Davis,449.0
881,11,Davis,0.0
882,11,Davis,0.0
883,11,Davis,627.0
884,11,Davis,603.0
885,11,Davis,232.0
886,11,Davis,401.0
887,11,Davis,336.0
888,11,Davis,0.0
889,11,Davis,0.0
890,11,Davis,0.0
891,11,Davis,575.0
892,11,Davis,684.0
893,11,Davis,0.0
894,11,Davis,1051.0
895,11,Davis,283.0
896,11,Davis,294.0
897,11,Davis,0.0
898,11,Davis,0.0
899,11,Davis,0.0
900,11,Davis,0.0
901,11,Davis,0.0
902,11,Davis,0.0
903,11,Davis,7.0
904,11,Davis,15.0
905,11,Davis,1.0
906,35,Salt Lake,0.0
907,35,Salt Lake,0.0
908,35,Salt Lake,0.0
909,35,Salt Lake,0.0
910,35,Salt Lake,0.0
911,35,Salt Lake,0.0
912,35,Salt Lake,0.0
913,35,Salt Lake,0.0
914,35,Salt Lake,0.0
915,35,Salt Lake,0.0
916,35,Salt Lake,0.0
917,35,Salt Lake,0.0
918,35,Salt Lake,0.0
919,35,Salt Lake,0.0
920,35,Salt Lake,0.0
921,35,Salt Lake,0.0
922,35,Salt Lake,0.0
923,35,Salt Lake,0.0
